iter	Passed	Remaining
473	673	747
474	674	745
475	674	742
476	675	740
477	677	739
478	678	738
479	679	736
480	680	734
481	681	732
482	683	731
483	684	729
484	685	727
485	685	725
486	686	723
487	687	721
488	690	721
489	691	719
490	692	717
491	692	715
492	699	719
493	700	717
494	701	716
495	702	714
496	707	715
497	707	713
498	708	711
499	709	709
500	710	707
501	712	706
502	713	704
503	714	703
504	715	701
505	716	699
506	717	698
507	719	696
508	719	694
509	720	692
510	721	690
511	723	689
512	724	687
513	724	685
514	725	683
515	726	681
516	727	679
517	728	678
518	729	676
519	730	674
520	731	672
521	732	670
522	733	669
523	734	667
524	735	665
525	736	663
526	736	661
527	738	659
528	739	658
529	739	656
530	740	654
531	741	652
532	742	650
533	744	649
534	744	647
535	745	645
536	746	643
537	747	641
538	748	639
539	749	638
540	750	636
541	751	634
542	753	633
543	754	632
544	755	630
545	756	628
546	756	626
547	757	624
548	758	623
549	760	622
550	761	620
551	762	618
552	763	616
553	764	615
554	765	614
555	766	612
556	767	610
557	768	608
558	769	606
559	770	605
560	770	603
561	772	602
562	773	600
563	774	598
564	775	597
565	778	596
566	779	595
567	780	593
568	781	591
569	781	589
570	783	588
571	784	586
572	785	585
573	786	583
574	787	582
575	788	580
576	789	578
577	790	577
578	791	575
579	792	573
580	792	571
581	793	570
582	795	568
583	796	567
584	797	565
585	798	563
586	799	562
587	801	561
588	801	559
589	802	557
590	803	555
591	804	554
592	806	553
593	807	551
594	808	550
595	809	548
596	809	546
597	811	545
598	813	544
599	813	542
600	814	540
601	815	539
602	816	537
603	817	536
604	818	534
605	819	532
606	820	531
607	824	531
608	825	530
609	826	528
610	827	526
611	828	525
612	830	524
613	831	522
614	832	521
615	833	519
616	834	518
617	835	516
618	836	515
619	837	513
620	838	511
621	839	510
622	840	508
623	841	507
624	842	505
625	843	504
626	844	502
627	846	501
628	847	500
629	848	498
630	849	496
631	850	495
632	851	493
633	852	492
634	853	490
635	854	488
636	855	487
637	857	486
638	858	484
639	858	483
640	859	481
641	860	479
642	861	478
643	862	476
644	863	475
645	864	473
646	865	472
647	867	471
648	868	469
649	869	468
650	870	466
651	871	464
652	872	463
653	873	462
654	874	460
655	875	459
656	876	457
657	878	456
658	879	455
659	880	453
660	881	451
661	882	450
662	882	448
663	884	447
664	885	446
665	887	445
666	888	443
667	889	442
668	890	440
669	891	439
670	892	437
671	893	436
672	894	434
673	895	433
674	896	431
675	897	430
676	898	428
677	899	427
678	900	425
679	901	424
680	902	422
681	903	421
682	904	419
683	905	418
684	907	417
685	908	415
686	908	414
687	909	412
688	911	411
689	912	409
690	912	408
691	913	406
692	914	405
693	915	403
694	917	402
695	918	401
696	919	399
697	920	398
698	923	397
699	924	396
700	925	394
701	926	393
702	926	391
703	927	390
704	928	388
705	929	387
706	930	385
707	931	384
708	932	382
709	933	381
710	935	380
711	935	378
712	936	377
713	937	375
714	939	374
715	940	373
716	941	371
717	942	370
718	943	368
719	944	367
720	946	366
721	946	364
722	947	363
723	948	361
724	949	360
725	957	361
726	958	359
727	959	358
728	960	356
729	960	355
730	961	353
731	962	352
732	963	351
733	964	349
734	965	348
735	966	346
736	967	345
737	968	343
738	969	342
739	970	341
740	971	339
741	972	338
742	973	336
743	973	335
744	976	334
745	977	332
746	977	331
747	978	329
748	980	328
749	981	327
750	982	325
751	983	324
752	983	322
753	984	321
754	987	320
755	988	318
756	989	317
757	990	316
758	992	315
759	993	313
760	994	312
761	994	310
762	995	309
763	996	307
764	997	306
765	998	305
766	999	303
767	1000	302
768	1001	300
769	1002	299
770	1004	298
771	1005	296
772	1005	295
773	1006	294
774	1007	292
775	1008	291
776	1010	289
777	1011	288
778	1012	287
779	1013	285
780	1014	284
781	1015	283
782	1016	281
783	1017	280
784	1018	278
785	1018	277
786	1019	276
787	1021	274
788	1022	273
789	1023	272
790	1024	270
791	1026	269
792	1027	268
793	1028	266
794	1029	265
795	1030	264
796	1032	262
797	1033	261
798	1034	260
799	1034	258
800	1035	257
801	1037	256
802	1038	254
803	1039	253
804	1040	252
805	1041	250
806	1041	249
807	1043	248
808	1045	246
809	1045	245
810	1047	244
811	1048	242
812	1049	241
813	1050	240
814	1051	238
815	1052	237
816	1053	235
817	1054	234
818	1055	233
819	1056	231
820	1057	230
821	1058	229
822	1059	227
823	1060	226
824	1061	225
825	1062	223
826	1062	222
827	1063	220
828	1064	219
829	1065	218
830	1066	216
831	1067	215
832	1067	214
833	1068	212
834	1069	211
835	1070	210
836	1071	208
837	1072	207
838	1073	205
839	1073	204
840	1074	203
841	1076	202
842	1077	200
843	1078	199
844	1079	198
845	1081	196
846	1082	195
847	1083	194
848	1084	192
849	1085	191
850	1086	190
851	1087	188
852	1087	187
853	1089	186
854	1090	184
855	1091	183
856	1092	182
857	1095	181
858	1096	179
859	1096	178
860	1098	177
861	1099	175
862	1100	174
863	1101	173
864	1102	172
865	1102	170
866	1104	169
867	1105	168
868	1106	166
869	1107	165
870	1108	164
871	1108	162
872	1109	161
873	1110	160
874	1112	158
875	1113	157
876	1113	156
877	1114	154
878	1117	153
879	1118	152
880	1119	151
881	1120	149
882	1120	148
883	1121	147
884	1123	145
885	1124	144
886	1125	143
887	1126	142
888	1128	140
889	1129	139
890	1130	138
891	1131	136
892	1132	135
893	1132	134
894	1133	132
895	1134	131
896	1136	130
897	1136	129
898	1137	127
899	1138	126
900	1139	125
901	1140	123
902	1141	122
903	1142	121
904	1142	119
905	1143	118
906	1144	117
907	1144	116
908	1146	114
909	1146	113
910	1147	112
911	1148	110
912	1149	109
913	1151	108
914	1152	107
915	1153	105
916	1153	104
917	1154	103
918	1155	101
919	1155	100
920	1156	99
921	1157	97
922	1159	96
923	1159	95
924	1161	94
925	1162	92
926	1163	91
927	1164	90
928	1165	89
929	1165	87
930	1166	86
931	1168	85
932	1169	83
933	1170	82
934	1170	81
935	1171	80
936	1172	78
937	1173	77
938	1174	76
939	1175	75
940	1176	73
941	1176	72
942	1177	71
943	1178	69
944	1180	68
945	1181	67
946	1181	66
947	1182	64
948	1183	63
949	1184	62
950	1185	61
951	1186	59
952	1187	58
953	1188	57
954	1190	56
955	1191	54
956	1192	53
957	1193	52
958	1195	51
959	1196	49
960	1197	48
961	1198	47
962	1198	46
963	1199	44
964	1201	43
965	1203	42
966	1204	41
967	1205	39
968	1205	38
969	1207	37
970	1208	36
971	1209	34
972	1210	33
973	1211	32
974	1211	31
975	1214	29
976	1215	28
977	1216	27
978	1216	26
979	1218	24
980	1219	23
981	1220	22
982	1220	21
983	1221	19
984	1222	18
985	1223	17
986	1224	16
987	1225	14
988	1227	13
989	1228	12
990	1229	11
991	1230	9
992	1231	8
993	1232	7
994	1233	6
995	1234	4
996	1235	3
997	1235	2
998	1236	1
999	1238	0
